file,title,candidates,time_sec
1000-receipt.jpg,GREEN FIELD,GREEN FIELD | Long BeachCA 90804 | 5305 E PACIFIC COAST HWY | 562597-0906,2.4
1001-receipt.jpg,,no text detected,0.83
1002-receipt.jpg,xXxxxXXxXxxxxxxxxxxxxxxXxXx vey Code,xXxxxXXxXxxxxxxxxxxxxxxXxXx vey Code0279-4033-2211-1303 For a Chance to WIN See Back of Receip | xxxXxxxxxxxxxxxxxxxxxxxxxxxxxxxx Diganos en Espanol 101731,2.69
1003-receipt.jpg,E1 Gran Mar de Plata,E1 Gran Mar de Plata | Bar Tab Bar Tab | Server:Kayra Station:10 | Order#8262 Dine In | 1 Miller Lite SETTLED 5.00,2.26
1004-receipt.jpg,GOLDEN BOWL TERIYAKI,"GOLDEN BOWL TERIYAKI | SOUTH GATE,CA.90280 TEL562928-8999 8610 GARFIELD AVE. | REG 05-18-201911:19AM | Manager1 MC#01 000141",1.84
1005-receipt.jpg,Cowboy16oz Ribeye Make It Blue,Cowboy16oz Ribeye 45.00 | Make It Blue 5.00 | Add Lobster 21.00 | Duke16oz Top Sirloin 34.00 | 2BMOD Up,3.03
1006-receipt.jpg,Akira,Akira | #37PICKUP | 386RW | GonmontNY2077 | www.kirasushgtoup.c,2.4
1007-receipt.jpg,Katana Sus,Katana Sushi | Server Miehael C | EverettWA 98201 | Check #93 TableD2 | 2818 Hewitt Ave,4.38
1008-receipt.jpg,Dona Mercedes Restaurant,Dona Mercedes Restaurant | Vero | CENTERL | 3 Pupusa Queso $6.75 | San Fernando CA91341,3.34
1009-receipt.jpg,Pautucket,Pautucket. 223 Neupot Bye Bella Pasto 02861 | Advisor | Check s put on | google/Facebook/yelp/Trip | Soruer PH RARP,1.5
1010-receipt.jpg,Friendly Red's of Windham,Friendly Red's | of Windham | Windham NH | Server: Giancarlo 07/21/2018 | 22 Haverhi11Rd,2.62
1011-receipt.jpg,Quick Sherman OaksCA Van Nuys BLVD Smoke City Market,Quick 73 Sherman OaksCA 91401 5242 Van Nuys BLVD Smoke City Market | Server Rebecca B S1 | 1 1 Pulled Pork Sand Welght 1.89bs@$19.50/bs Beef Ribs $3686 $8.50 $0.00 | Printed By Rebecca B Jun26150455 PM | 1 1 1 Creamed Corn[Small] Longhorn Mac & Cheese[sm] *Reg ate Cakelslice] $335 $4.20 $3.95,3.51
1012-receipt.jpg,HPPho,HPPho Ga | 1 Pho Ga Sma1 8.00 | 1 Pho Ga (Large) 9.00 | Server: Admin | Phone (626288-9999,2.75
1013-receipt.jpg,MEXICAN FOOD ALBETOS,"MEXICAN FOOD | ALBETOS | ARTESIA,CA. | PHONE ORDERS WELCOME | 11732 ARTESIA BLVD.",2.43
1014-receipt.jpg,Loaded Cafe,Loaded Cafe | 700 Be71f lower_Blvd | 11f1owerCA 90706 | chk 2763 Gst 2 | Feb23'1910:23AM,2.13
1015-receipt.jpg,HAMMOCKS TRADING COMPANY Sandy Springs Georg,"HAMMOCKS TRADING COMPANY | Sandy Springs,Georgia | Tb1:40 Nicefomeaty 770-395-9592 Ref:155091 | Chk:202524 | Shannon 3/10/2017 6:23pm",2.91
1016-receipt.jpg,Chef Wang,Chef Wang | 1902 Jericho Turnpike | New Hyde Park NY 11040 | Server:lily 02/02/19 | Tel:516.354.2858Fax:516.776.0587,2.5
1017-receipt.jpg,UMIX,"UMIX | Brownsvi1le, TX 78521 | 4327N. Expressway 77/83 | Station:1 User:KRIST | Ticket #215406 956-543-5089",2.57
